sinr_dl_db,mcs_dl,packet_loss_ratio,prb_utilization,retransmissions,cqi,load_level,mobility_speed,shadowing_enabled,throughput_mbps_roll3,throughput_mbps_roll5,throughput_mbps_lag1,throughput_mbps_lag3,jitter_ms_roll3,jitter_ms_roll5,jitter_ms_lag1,jitter_ms_lag3,sinr_dl_db_roll3,sinr_dl_db_roll5,sinr_dl_db_lag1,sinr_dl_db_lag3,packet_loss_ratio_roll3,packet_loss_ratio_roll5,packet_loss_ratio_lag1,packet_loss_ratio_lag3,timestamp,ue_id,y_true,y_pred
-2.38719,2,0.91125,5,0,2,4,0,0,4.162101333333333,3.7979583999999997,5.8944,5.8944,1.361494666666666,3.2982191999999997,0.445412,0.445412,58.59653666666667,49.187602,89.0884,89.0884,0.30375000000000013,0.36158339999999994,0.0,0.0,5,5,3.19366,8.296991
-17.9394,0,0.97375,4,502,0,4,0,1,2.2660693333333333,3.7174016,0.697504,5.8944,19.367790666666668,11.7988392,3.19366,0.445412,22.920603333333332,49.38772199999999,-2.38719,89.0884,0.6283333333333334,0.37699999999999995,0.91125,0.0,5,5,54.4643,48.586792
-5.33911,0,0.959,2,0,0,5,0,0,0.4355306666666667,2.6190784000000003,0.206304,5.8944,21.269843333333334,12.9400708,54.4643,0.445412,-8.555233333333334,30.50222,-17.9394,89.0884,0.9480000000000001,0.5688,0.97375,0.0,5,5,6.15157,5.4992127
-22.7878,0,1.0,4,319,0,5,0,1,0.2030293333333333,1.4401984,0.402784,0.697504,20.20529,12.8509884,6.15157,3.19366,-15.355436666666668,8.12698,-5.33911,-2.38719,0.9775833333333335,0.7687999999999999,0.959,0.91125,5,5,0.0,17.373753
-2.38719,2,0.57,4,0,2,1,0,0,0.4158826666666666,0.4302912,0.0,0.206304,3.210546666666667,13.457920000000001,0.0,54.4643,-10.171366666666666,-10.168137999999999,-22.7878,-17.9394,0.8430000000000001,0.8827999999999999,1.0,0.97375,6,5,3.48007,7.4418855
-31.0001,0,0.875,3,764,0,1,0,1,0.363488,0.3399104,0.844864,0.402784,12.626689999999998,19.699188,3.48007,6.15157,-18.72503,-15.890719999999998,-2.38719,-5.33911,0.8150000000000001,0.8755499999999999,0.57,0.959,6,5,34.4,19.892912
-2.38719,2,0.815,3,0,2,2,0,0,0.6058133333333333,0.4440448,0.2456,0.0,13.714849999999998,9.459223999999999,34.4,0.0,-11.924826666666666,-12.780278,-31.0001,-22.7878,0.7533333333333334,0.8438000000000001,0.875,1.0,6,5,3.26448,5.971885
-18.5588,0,0.9275,3,246,0,2,0,1,0.4191573333333334,0.42046719999999993,0.726976,0.844864,32.01316,19.90391,3.26448,3.48007,-17.315363333333334,-15.424216000000001,-2.38719,-2.38719,0.8725,0.8375,0.815,0.57,6,5,58.375,38.9333
-2.38719,2,0.88,3,0,2,3,0,0,0.5730666666666667,0.5619327999999999,0.284896,0.2456,21.945963333333335,20.743592,58.375,34.4,-7.777726666666666,-11.344094,-18.5588,-31.0001,0.8741666666666669,0.8135,0.9275,0.875,6,5,4.19841,6.405585
5.32555,8,0.45,8,280,5,3,0,1,1.4113813333333332,1.041344,0.707328,0.726976,21.99799,20.73169,4.19841,3.26448,-5.206813333333333,-9.801546000000002,-2.38719,-2.38719,0.7525000000000001,0.7895000000000001,0.88,0.815,6,5,3.42056,11.15002
